78,102
75,101
74,101
73,101
73,100
72,100
72,99
72,98
71,98
70,98
70,97
69,97
69,96
68,96
67,96
67,95
66,95
65,95
65,95
65,95
64,95
63,95
62,95
61,95
60,95
59,95
58,95
57,95
56,95
55,95
55,96
55,97
55,98
55,99
55,100
55,101
54,101
53,101
52,101
51,101
51,102
51,103
51,104
51,105
52,105
52,106
52,107
52,108
52,109
52,110
51,110
51,111
50,111
50,112
49,112
49,113
48,113
48,114
48,115
49,115
50,115
50,116
50,116
51,116
51,117
52,117
53,117
53,118
54,118
54,119
54,120
54,121
54,122
54,123
54,124
54,125
53,125
52,125
51,125
51,126
51,127
51,128
51,129
51,130
52,130
53,130
54,130
55,130
56,130
57,130
57,131
58,131
59,131
59,132
60,132
60,133
60,134
60,135
61,135
62,135
63,135
64,135
